2026-09-19 10:56:35,310 | WARNING | Predicting MAXHEALTH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,342 | WARNING | Predicting DRREDDY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,358 | WARNING | Predicting NESTLEIND.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,365 | INFO | Generated 50 current predictions.
2026-09-19 11:27:47,772 | WARNING | Predicting BHARTIARTL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,805 | WARNING | Predicting ICICIBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,870 | WARNING | Predicting LT.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,886 | WARNING | Predicting HINDUNILVR.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,919 | WARNING | Predicting SUNPHARMA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,935 | WARNING | Predicting INFY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,950 | WARNING | Predicting KOTAKBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:47,999 | WARNING | Predicting MARUTI.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,015 | WARNING | Predicting AXISBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,046 | WARNING | Predicting HCLTECH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,061 | WARNING | Predicting ITC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,095 | WARNING | Predicting NTPC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 11:27:48,124 | WARNING | Predicting ETERNAL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
